rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b child ?a => ?a mother ?b,?b child ?a,?a mother ?b,0.464419476,0.130732736,0.46969697,248,1897,528,?a
?a parent ?b => ?a mother ?b,?a parent ?b,?a mother ?b,1.0,0.430992736,0.49859944,534,1239,1071,?a
?b predecessor ?a => ?a successor ?b,?b predecessor ?a,?a successor ?b,1.0,1.0,1.0,471,471,471,?a
?b parent ?a => ?a successor ?b,?b parent ?a,?a successor ?b,0.414012739,0.157384988,0.50257732,195,1239,388,?a
?b father ?a => ?a successor ?b,?b father ?a,?a successor ?b,0.360934183,0.258358663,0.508982036,170,658,334,?a
?a child ?b => ?a successor ?b,?a child ?b,?a successor ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?a
?b successor ?a => ?a predecessor ?b,?b successor ?a,?a predecessor ?b,1.0,1.0,1.0,471,471,471,?b
?b child ?a => ?a predecessor ?b,?b child ?a,?a predecessor ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?b
?a father ?b => ?a predecessor ?b,?a father ?b,?a predecessor ?b,0.360934183,0.258358663,0.508982036,170,658,334,?b
?a parent ?b => ?a predecessor ?b,?a parent ?b,?a predecessor ?b,0.414012739,0.157384988,0.50257732,195,1239,388,?b
?b child ?a => ?a father ?b,?b child ?a,?a father ?b,0.458966565,0.159198735,0.546112116,302,1897,553,?a
?a parent ?b => ?a father ?b,?a parent ?b,?a father ?b,1.0,0.531073446,0.549707602,658,1239,1197,?a
?a predecessor ?b => ?a father ?b,?a predecessor ?b,?a father ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?b successor ?a => ?a father ?b,?b successor ?a,?a father ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?b spouse ?a => ?a spouse ?b,?b spouse ?a,?a spouse ?b,0.998263889,0.998263889,0.99913119,1150,1152,1151,?a
?a mother ?b => ?a parent ?b,?a mother ?b,?a parent ?b,0.430992736,1.0,1.0,534,534,534,?b
?a father ?b => ?a parent ?b,?a father ?b,?a parent ?b,0.531073446,1.0,1.0,658,658,658,?b
?b successor ?a => ?a parent ?b,?b successor ?a,?a parent ?b,0.157384988,0.414012739,0.570175439,195,471,342,?b
?a predecessor ?b => ?a parent ?b,?a predecessor ?b,?a parent ?b,0.157384988,0.414012739,0.570175439,195,471,342,?b
?b child ?a => ?a parent ?b,?b child ?a,?a parent ?b,0.447941889,0.292567211,0.306460519,555,1897,1811,?b
?b predecessor ?a => ?a child ?b,?b predecessor ?a,?a child ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?b father ?a => ?a child ?b,?b father ?a,?a child ?b,0.159198735,0.458966565,0.766497462,302,658,394,?b
?b parent ?a => ?a child ?b,?b parent ?a,?a child ?b,0.292567211,0.447941889,0.713367609,555,1239,778,?b
?b mother ?a => ?a child ?b,?b mother ?a,?a child ?b,0.130732736,0.464419476,0.67027027,248,534,370,?b
?a successor ?b => ?a child ?b,?a successor ?b,?a child ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?b spouse ?f ?f successor ?a => ?a mother ?b,?b spouse ?f  ?f successor ?a,?a mother ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?a predecessor ?f ?b spouse ?f => ?a mother ?b,?a predecessor ?f  ?b spouse ?f,?a mother ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?a father ?f ?b spouse ?f => ?a mother ?b,?a father ?f  ?b spouse ?f,?a mother ?b,0.923220974,0.728212703,0.757296467,493,677,651,?a
?a parent ?f ?b spouse ?f => ?a mother ?b,?a parent ?f  ?b spouse ?f,?a mother ?b,0.926966292,0.396952686,0.410447761,495,1247,1206,?a
?a father ?f ?f spouse ?b => ?a mother ?b,?a father ?f  ?f spouse ?b,?a mother ?b,0.921348315,0.726735598,0.755760369,492,677,651,?a
?f child ?a ?b spouse ?f => ?a mother ?b,?f child ?a  ?b spouse ?f,?a mother ?b,0.509363296,0.114285714,0.393632417,272,2380,691,?a
?a parent ?f ?f spouse ?b => ?a mother ?b,?a parent ?f  ?f spouse ?b,?a mother ?b,0.925093633,0.395833333,0.409279205,494,1248,1207,?a
?a predecessor ?f ?f spouse ?b => ?a mother ?b,?a predecessor ?f  ?f spouse ?b,?a mother ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?e spouse ?b ?e successor ?a => ?a mother ?b,?e spouse ?b  ?e successor ?a,?a mother ?b,0.269662921,0.298755187,0.452830189,144,482,318,?a
?e child ?a ?e spouse ?b => ?a mother ?b,?e child ?a  ?e spouse ?b,?a mother ?b,0.509363296,0.114285714,0.393632417,272,2380,691,?a
?b parent ?f ?f spouse ?a => ?a successor ?b,?b parent ?f  ?f spouse ?a,?a successor ?b,0.354564756,0.133814103,0.432642487,167,1248,386,?a
?b parent ?f ?a spouse ?f => ?a successor ?b,?b parent ?f  ?a spouse ?f,?a successor ?b,0.354564756,0.133921411,0.432642487,167,1247,386,?a
?b mother ?f ?f spouse ?a => ?a successor ?b,?b mother ?f  ?f spouse ?a,?a successor ?b,0.305732484,0.258064516,0.458598726,144,558,314,?a
?b mother ?f ?a spouse ?f => ?a successor ?b,?b mother ?f  ?a spouse ?f,?a successor ?b,0.305732484,0.258527828,0.458598726,144,557,314,?a
?a mother ?f ?b spouse ?f => ?a predecessor ?b,?a mother ?f  ?b spouse ?f,?a predecessor ?b,0.305732484,0.258527828,0.458598726,144,557,314,?b
?a parent ?f ?b spouse ?f => ?a predecessor ?b,?a parent ?f  ?b spouse ?f,?a predecessor ?b,0.354564756,0.133921411,0.432642487,167,1247,386,?b
?a parent ?f ?f spouse ?b => ?a predecessor ?b,?a parent ?f  ?f spouse ?b,?a predecessor ?b,0.354564756,0.133814103,0.432642487,167,1248,386,?b
?a mother ?f ?f spouse ?b => ?a predecessor ?b,?a mother ?f  ?f spouse ?b,?a predecessor ?b,0.305732484,0.258064516,0.458598726,144,558,314,?b
?b child ?a ?b successor ?a => ?a father ?b,?b child ?a  ?b successor ?a,?a father ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?b child ?a ?a predecessor ?b => ?a father ?b,?b child ?a  ?a predecessor ?b,?a father ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?a parent ?b ?a predecessor ?b => ?a father ?b,?a parent ?b  ?a predecessor ?b,?a father ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?a parent ?b ?b successor ?a => ?a father ?b,?a parent ?b  ?b successor ?a,?a father ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?a parent ?f ?b spouse ?f => ?a father ?b,?a parent ?f  ?b spouse ?f,?a father ?b,0.755319149,0.398556536,0.402755267,497,1247,1234,?a
?b child ?a ?a parent ?b => ?a father ?b,?b child ?a  ?a parent ?b,?a father ?b,0.458966565,0.544144144,0.550091075,302,555,549,?a
?f child ?a ?b spouse ?f => ?a father ?b,?f child ?a  ?b spouse ?f,?a father ?b,0.372340426,0.102941176,0.349500713,245,2380,701,?a
?a mother ?f ?b predecessor ?f => ?a father ?b,?a mother ?f  ?b predecessor ?f,?a father ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?a mother ?f ?b spouse ?f => ?a father ?b,?a mother ?f  ?b spouse ?f,?a father ?b,0.747720365,0.883303411,0.888086643,492,557,554,?a
?a parent ?f ?f spouse ?b => ?a father ?b,?a parent ?f  ?f spouse ?b,?a father ?b,0.756838906,0.399038462,0.403238866,498,1248,1235,?a
?a mother ?f ?f successor ?b => ?a father ?b,?a mother ?f  ?f successor ?b,?a father ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?b spouse ?a ?b successor ?a => ?a spouse ?b,?b spouse ?a  ?b successor ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?b spouse ?a ?a successor ?b => ?a spouse ?b,?b spouse ?a  ?a successor ?b,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
