Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint2>,valid,36544,666.8273966312408
<http://SGKG4.org/shapes/Constraint2>,valid,39777,666.8413619995117
<http://SGKG4.org/shapes/Constraint5>,valid,146550,1550.5161690711975
<http://SGKG4.org/shapes/Constraint2>,valid,43584,666.8565859794617
<http://SGKG4.org/shapes/Constraint2>,valid,41270,666.8473999500275
<http://SGKG4.org/shapes/Constraint5>,violated,137139,1550.47216629982
<http://SGKG4.org/shapes/Constraint1>,valid,22977,346.1864058971405
<http://SGKG4.org/shapes/Constraint2>,valid,51862,666.8905518054962
<http://SGKG4.org/shapes/Constraint4>,valid,104053,1230.6288783550262
<http://SGKG4.org/shapes/Constraint3>,valid,87283,951.5024509429932
<http://SGKG4.org/shapes/Constraint3>,violated,67993,951.4264528751373
<http://SGKG4.org/shapes/Constraint1>,valid,11226,346.1053488254547
<http://SGKG4.org/shapes/Constraint3>,valid,83475,951.4894506931305
<http://SGKG4.org/shapes/Constraint3>,valid,83970,951.4914498329163
<http://SGKG4.org/shapes/Constraint1>,valid,994,346.03844022750854
<http://SGKG4.org/shapes/Constraint4>,valid,103397,1230.6258788108826
<http://SGKG4.org/shapes/Constraint3>,valid,88396,951.5074496269226
<http://SGKG4.org/shapes/Constraint2>,valid,50035,666.8835520744324
<http://SGKG4.org/shapes/Constraint4>,valid,112176,1230.6648740768433
<http://SGKG4.org/shapes/Constraint1>,valid,12186,346.11132192611694
<http://SGKG4.org/shapes/Constraint2>,valid,58580,666.9215853214264
<http://SGKG4.org/shapes/Constraint4>,valid,104490,1230.6308796405792
<http://SGKG4.org/shapes/Constraint5>,valid,162273,1550.591199874878
<http://SGKG4.org/shapes/Constraint4>,valid,129223,1230.7408754825592
<http://SGKG4.org/shapes/Constraint5>,valid,142171,1550.4971671104431
<http://SGKG4.org/shapes/Constraint2>,valid,51711,666.8905518054962
<http://SGKG4.org/shapes/Constraint3>,violated,75569,951.4584500789642
<http://SGKG4.org/shapes/Constraint2>,valid,40390,666.8434023857117
<http://SGKG4.org/shapes/Constraint5>,violated,138610,1550.479166507721
<http://SGKG4.org/shapes/Constraint2>,valid,58681,666.9215853214264
<http://SGKG4.org/shapes/Constraint4>,valid,121624,1230.7079133987427
<http://SGKG4.org/shapes/Constraint4>,valid,108215,1230.6478765010834
<http://SGKG4.org/shapes/Constraint4>,valid,116068,1230.6818776130676
<http://SGKG4.org/shapes/Constraint3>,valid,83684,951.4904496669769
<http://SGKG4.org/shapes/Constraint5>,valid,161818,1550.5892043113708
<http://SGKG4.org/shapes/Constraint5>,valid,140796,1550.4911668300629
<http://SGKG4.org/shapes/Constraint1>,valid,21151,346.1754171848297
<http://SGKG4.org/shapes/Constraint2>,valid,63777,666.9421803951263
<http://SGKG4.org/shapes/Constraint3>,valid,82442,951.4864494800568
<http://SGKG4.org/shapes/Constraint3>,valid,86291,951.4994494915009
<http://SGKG4.org/shapes/Constraint4>,valid,112524,1230.6658759117126
<http://SGKG4.org/shapes/Constraint2>,valid,34472,666.8183996677399
<http://SGKG4.org/shapes/Constraint5>,valid,141810,1550.495167016983
<http://SGKG4.org/shapes/Constraint1>,valid,13053,346.1163263320923
<http://SGKG4.org/shapes/Constraint1>,valid,21992,346.1804151535034
<http://SGKG4.org/shapes/Constraint2>,valid,59436,666.9245500564575
